study_id,vocabulary_type_step1,vocabulary_type_step2,midpoint,slope,upper_limit,AIC_LL.3,AIC_Cubic,AIC_Quad,AIC_Lin,cumulative_exp_Eng,cumulative_exp_Fre,end_age,lang_status,dominant_lang,exposure_balance,exposure_percent,n_months,age,starting_age,eng_completed,fr_completed,num_datapts,vocabulary_score,num_missing_datapts,total,dominance,words_learned
S063,word,word,28.216967017219503,8.409535451038213,1278.3110344447534,110.4357894564758,115.65041329091872,115.46458927899124,150.75602556590457,40.71328391103987,51.73311961530756,31,bilingual,fr_dom,40.71328391103987,NA,13,29.233333333333334,17.033333333333335,TRUE,TRUE,13,728,2,1344,NA,129.4817073170731
S063,concept,concept,26.876152263469105,8.899349818230178,710.840564158023,103.25341856013586,107.49946883463105,112.16247924650818,137.31314512805866,40.71328391103987,51.73311961530756,31,bilingual,fr_dom,40.71328391103987,NA,13,29.233333333333334,17.033333333333335,TRUE,TRUE,13,481,2,733,NA,41.34760096651685
S064,English,single,27.060826306336555,8.418727530511756,542.844066403611,110.01022295828064,110.63388879131864,119.526947555139,144.86655870816742,67.02764976958525,31.566820276497698,31,bilingual,eng_dom,31.566820276497698,67.02764976958525,15,30.225806451612904,16.226881720430107,TRUE,TRUE,14,391,1,680,dominant,31.764705882352956
S064,word,word,27.969346020215458,7.084001462582423,808.1760202476429,118.9773949165664,117.35511006081497,125.4869324939114,150.1243356142464,67.02764976958525,31.566820276497698,31,bilingual,eng_dom,31.566820276497698,NA,15,30.225806451612904,16.226881720430107,TRUE,TRUE,14,509,1,1344,NA,38.823529411764724
S064,concept,concept,27.18339331973104,7.793365220567165,596.1563417801241,110.01292330552688,110.49423506525588,120.65467503836793,144.4020151691317,67.02764976958525,31.566820276497698,31,bilingual,eng_dom,31.566820276497698,NA,15,30.225806451612904,16.226881720430107,TRUE,TRUE,14,412,1,733,NA,34.11764705882354
S069,English,single,23.446117978370115,9.085598461715934,776.0762417327626,142.51607755840502,132.4312522183007,165.4178316015064,163.43545445627117,59.0373783922171,37.634408602150536,31,bilingual,eng_dom,37.634408602150536,59.0373783922171,15,30.612903225806452,16.323655913978495,TRUE,TRUE,15,680,0,680,dominant,82.43020594965677
S069,French,single,27.863129146957935,10.349261869206142,958.60288860364,143.82265616106275,149.75662532597048,148.11194039179475,170.99149982902316,59.0373783922171,37.634408602150536,31,bilingual,eng_dom,37.634408602150536,37.634408602150536,15,30.612903225806452,16.323655913978495,TRUE,TRUE,15,654,1,664,nondominant,137.77777777777746
S069,word,word,26.446395183812417,7.673442292529344,1858.0744002195124,150.6035250182298,152.55279522271883,163.25571350387352,174.79632328774477,59.0373783922171,37.634408602150536,31,bilingual,eng_dom,37.634408602150536,NA,15,30.612903225806452,16.323655913978495,TRUE,TRUE,15,1334,1,1344,NA,173.82122174481657
S069,concept,concept,23.79650464414202,8.346914998933089,855.4397862459613,133.1975141453346,124.9916041001582,153.53777344715613,151.69216270959862,59.0373783922171,37.634408602150536,31,bilingual,eng_dom,37.634408602150536,NA,15,30.612903225806452,16.323655913978495,TRUE,TRUE,15,732,1,733,NA,87.39588100686501
S072,French,single,24.724270291169805,8.530269569988814,640.5124361831821,95.8930044000957,103.4701941787158,121.33840198828835,125.64095654739558,7.4884792626728105,90.32258064516128,31,fr_mono,fr_dom,7.4884792626728105,90.32258064516128,14,29.59032258064516,16.38924731182796,NA,TRUE,13,518,2,664,dominant,42.133390557940004
S072,word,word,24.724270291169805,8.530269569988814,640.5124361831821,95.8930044000957,103.4701941787158,121.33840198828835,125.64095654739558,7.4884792626728105,90.32258064516128,31,fr_mono,fr_dom,7.4884792626728105,NA,14,29.59032258064516,16.38924731182796,NA,TRUE,13,518,2,664,NA,42.133390557940004
S072,concept,concept,24.724270291169805,8.530269569988814,640.5124361831821,95.8930044000957,103.4701941787158,121.33840198828835,125.64095654739558,7.4884792626728105,90.32258064516128,31,fr_mono,fr_dom,7.4884792626728105,NA,14,29.59032258064516,16.38924731182796,NA,TRUE,13,518,2,664,NA,42.133390557940004
S073,English,single,22.70598489739517,11.282438986920573,721.9907956629826,106.28881083594771,105.74167700924284,139.79067987101965,142.44230042925267,94.6,5.4,31,eng_mono,eng_dom,5.4,94.6,14,30.129032258064516,16.93763440860215,TRUE,NA,13,680,1,680,dominant,68.90807799442898
S073,word,word,22.70598489739517,11.282438986920573,721.9907956629826,106.28881083594771,105.74167700924284,139.79067987101965,142.44230042925267,94.6,5.4,31,eng_mono,eng_dom,5.4,NA,14,30.129032258064516,16.93763440860215,TRUE,NA,13,680,1,680,NA,68.90807799442898
S073,concept,concept,22.70598489739517,11.282438986920573,721.9907956629826,106.28881083594771,105.74167700924284,139.79067987101965,142.44230042925267,94.6,5.4,31,eng_mono,eng_dom,5.4,NA,14,30.129032258064516,16.93763440860215,TRUE,NA,13,680,1,680,NA,68.90807799442898
S079,English,single,25.030917227222034,7.318042495920948,771.0627791242687,92.17962014269747,93.8541600745534,103.72537607437832,103.93233634095888,94,6,30,eng_mono,eng_dom,6,94,15,30.363440860215057,16.131182795698926,TRUE,NA,10,608,5,680,dominant,84.3987606506585
